idx,token,latency_ms,pred_occ,gt_occ,n_obj,n_vru
0,30e55a3ec6184d8cb1944b39ba19d622,7170.955082401633,266773,-1,9,7
1,cc18fde20db74d30825b0b60ec511b7b,36.113111302256584,324609,-1,11,8
2,08e76760a8c64a92a86686baf68f6aff,41.167352348566055,358196,-1,11,8
3,2140329a6990437aa46b83c30f49cf49,42.541371658444405,375259,-1,11,8
4,01a7d01c014f406f87b8fe11976c3d0a,40.15480913221836,396107,-1,12,8
5,a2fada921a7d4141877f4a51328a21af,37.30446472764015,365964,-1,13,8
6,b06a815164ec466f9fdb525522bb3799,36.626171320676804,404673,-1,14,8
7,5bd85334fdf94fb99c7eaa45d5feba0d,36.97304613888264,408893,-1,14,8
8,61f89208546a4045af336659ebe8db05,39.59308937191963,378476,-1,14,8
9,3bf56ebb22b741339967a95a9fbe2081,36.07324697077274,394752,-1,16,8
10,296fcfbf2e29489699f1cb5631f38ff5,35.653868690133095,390188,-1,18,8
11,f7d75d25c86941f3aecfed9efea1a3e3,39.03213143348694,384431,-1,20,8
12,1dfecb8189f54b999f4e47ddaa677fd0,35.99848598241806,403942,-1,21,7
13,830ba619959e4802a955ac40c5ee9453,42.41042397916317,413492,-1,20,5
14,dc2b67cdadca4deb89d7d684f2894292,40.86543247103691,399565,-1,20,5
15,e1dffaba060040cfab07dec04790fbfa,37.05387935042381,400571,-1,21,6
16,be28204a6a5a42ed9939d95ec3f22f5f,36.93556413054466,377162,-1,20,6
17,77c3d98fab3e4d3ea65747caaa74d605,35.080013796687126,391636,-1,21,6
18,5224809ffef94a6e83454ad3930d3533,34.90331210196018,386377,-1,22,7
19,3c18f85f037744b6ae4c8a6f8dc578c2,31.77216462790966,404781,-1,22,7
20,08d95280dd2f42d98a4a6e33dff8e815,36.87882050871849,401451,-1,22,7
21,f38aedc5545643d5be815165c6574186,33.51266868412495,409861,-1,22,7
22,56f30b8972084492bbe742d423fc00ff,38.24481554329395,385515,-1,22,6
23,d536032be01140afb6faa25b33de5487,30.797727406024933,391054,-1,23,6
24,4094ae4656fb4b8fb1906192b24a34cb,37.0157565921545,397148,-1,24,6
25,df25b3ecaf994001ab5d5b92b9de89fd,29.53110821545124,404197,-1,24,6
26,27f42a55215f4223a01afa79fcda72e6,28.888050466775894,398777,-1,23,5
27,f3c9f3e85f384381bfced8c2a863376f,35.41073761880398,390759,-1,23,5
28,9c0558316d134feb8835997f8df4444d,33.040644600987434,383486,-1,23,5
29,755ef1d006e94b2a87523000781a7a99,35.421861335635185,394738,-1,23,5
30,4f9ad42bb4a24970b770ba0a87baf47a,29.99982051551342,397008,-1,22,5
31,5ea654e6b56a457093b835dbf8c886e4,39.13985565304756,399026,-1,22,5
32,8d4ef2af6b394e5e8ccfd6e2e90156dc,35.924166440963745,395394,-1,21,4
33,91cc3d4e0df748fd8f7b2955fa4b549c,33.395688980817795,391349,-1,21,4
34,adcff599db1e48f19fd5c0fc827c8d79,37.790268659591675,396158,-1,20,4
35,ec78e68b1637464da5305a9cbed214c4,35.844337195158005,386959,-1,20,4
36,9288108d128d4579a54fb135d08b46ad,34.01895426213741,385139,-1,20,4
37,efce90566e4b4b39a3869c023d7c6f19,33.84891338646412,383887,-1,20,4
38,e59fefa1fc19406782779392dff95366,32.577281817793846,391792,-1,20,4
39,adce54dcf6404d37bd170ffc4c2a7836,31.587587669491768,379626,-1,18,3
40,3613b5ea52bc46d0966fede34be89d38,33.91996584832668,355669,-1,23,9
41,c0f6cef97fa44973afe8ed8e18e652c3,32.56726451218128,355357,-1,25,11
42,895d801ecf3e40019e43a0d5b80bb453,32.97061659395695,380004,-1,25,12
43,18f10858b2b1410f8485ffa35253033d,31.815484166145325,412715,-1,26,13
44,2d72c60d65f84eae91bb4e5b2486b366,36.66231967508793,407191,-1,27,14
45,3d2ce1b79d1c45e5b7db4f26f411bb86,30.610142275691032,401103,-1,29,16
46,9a7a58e327f04340ae8f9ec098a58418,35.76008789241314,400908,-1,28,15
47,575d8e57b2de436b805fd6befde3edd7,32.03790634870529,371336,-1,31,19
48,14d8b49233574552ae43c6f49172ea16,38.15624862909317,408747,-1,33,20
49,5973a055a6ac40e9934cfce8afa82fbe,30.706103891134262,421144,-1,35,25
50,1220f9a205ae44418fcce91722e1e601,31.319892033934593,424331,-1,39,33
51,9b3ff4bc3d1d46a19ddae004ec9c0ae5,29.96313013136387,425799,-1,41,35
52,692096a37e2c43b3b1aaaa06b0a9666b,36.72820329666138,435027,-1,46,41
53,0c97832dafd24fce9a0e4935664dc824,32.13762491941452,457236,-1,48,44
54,ca37a1ae2ef1461d9c3dadf826e78706,32.898787409067154,441409,-1,50,46
55,9a1174901ea1401a9972a44616214c9b,30.085863545536995,451841,-1,51,47
56,6e147994a5e3493d86a928a612ff5791,30.199047178030014,470059,-1,55,51
57,4a1972f8731b4cdea40fc69a38a735b1,31.150000169873238,465205,-1,53,49
