idx,latency_ms
0,3.404807
1,3.398625
2,3.404292
3,3.400722
4,3.406849
5,3.396043
6,3.395301
7,3.394949
8,3.402625
9,3.347549
10,3.397764
11,3.398451
12,3.397847
13,3.404047
14,3.400253
15,3.401098
16,3.408906
17,3.409921
18,3.405612
19,3.400423
20,3.405571
21,3.402107
22,3.324868
23,3.402984
24,3.405680
25,3.415783
26,3.411593
27,3.405185
28,3.401500
29,3.405249
30,3.396772
31,3.404044
32,3.400191
33,3.402551
34,3.412114
35,3.338159
36,3.417491
37,3.418915
38,3.412738
39,3.411108
40,3.405150
41,3.421388
42,3.415174
43,3.417665
44,3.409587
45,3.411527
46,3.413836
47,3.419488
48,3.365235
49,3.407618
50,3.419160
51,3.414098
52,3.417888
53,3.412413
54,3.413907
55,3.411802
56,3.414130
57,3.410173
58,3.417226
59,3.411086
60,3.416410
61,3.355539
62,3.413266
63,3.408307
64,3.417357
65,3.412295
66,3.406288
67,3.416282
68,3.419658
69,3.413502
70,3.415606
71,3.404017
72,3.411624
73,3.405777
74,3.327843
75,3.422277
76,3.418803
77,3.408255
78,3.418666
79,3.410104
80,3.419533
81,3.413269
82,3.410961
83,3.418644
84,3.415356
85,3.412568
86,3.414617
87,3.336368
88,3.420315
89,3.412702
90,3.417325
91,3.415501
92,3.420993
93,3.417851
94,3.420996
95,3.419644
96,3.417497
97,3.414938
98,3.418056
99,3.417757
100,3.358789
101,3.423029
102,3.423633
103,3.421553
104,3.422772
105,3.418828
106,3.419760
107,3.414398
108,3.420910
109,3.409764
110,3.415076
111,3.416983
112,3.418886
113,3.365352
114,1.610861
115,1.614647
116,1.617076
117,1.625955
118,1.619028
119,1.623515
120,1.630135
121,1.629412
122,1.628998
123,1.633762
124,1.628337
125,1.628093
126,1.627763
127,1.631035
128,1.615547
129,1.617622
130,1.617156
131,1.620343
132,1.609305
133,1.614209
134,1.630582
135,1.620393
136,1.629118
137,1.630098
138,1.612737
139,1.625237
140,1.618937
141,1.624124
142,1.613345
143,1.624712
144,1.631660
145,1.627590
146,1.621577
147,1.628176
148,1.617565
149,1.616614
150,1.626002
151,1.625332
152,1.625152
153,1.615283
154,1.612061
155,1.611451
156,1.614718
157,1.604926
158,1.614695
159,1.620884
160,1.628626
161,1.618542
162,1.625486
163,1.626814
164,1.626886
165,1.625326
166,1.618863
167,1.622532
168,1.630460
169,1.628219
170,1.617210
171,1.624994
172,1.627296
173,1.616261
174,1.628670
175,1.645305
176,1.626333
177,1.639534
178,1.616066
179,1.622992
180,1.617235
181,1.608779
182,1.627471
183,1.622157
184,1.616597
185,1.631006
186,1.618762
187,1.624683
188,1.635906
189,1.619161
190,1.614840
191,1.620639
192,1.626036
193,1.624797
194,1.618070
195,1.634391
196,1.622297
197,1.644787
198,1.640305
199,1.634243
200,1.633571
201,1.631531
202,1.622613
203,1.628739
204,1.623066
205,1.665301
206,1.644409
207,1.635081
208,1.627014
209,1.636265
210,1.639163
211,1.625100
212,1.626102
213,1.618504
214,1.622039
215,1.618703
216,1.614095
217,1.617377
218,1.622063
219,1.620021
220,1.622568
221,1.608328
222,1.617681
223,1.608947
224,1.622314
225,1.623244
226,1.619379
227,1.626303
228,1.621525
229,1.615484
230,1.620354
231,1.628144
232,1.620735
233,1.630404
234,1.622236
235,1.622025
236,1.618801
237,1.638790
238,1.660645
239,1.631630
240,1.630403
241,1.631413
242,1.627079
243,1.644168
244,1.623770
245,1.623959
246,1.621101
247,1.641872
248,1.616550
249,1.620446
250,1.625623
251,1.651049
252,1.620007
253,1.621847
254,1.629541
255,1.624950
256,1.631723
257,1.626497
258,1.621657
259,1.636217
260,1.627240
261,1.632557
262,1.637966
263,1.632564
264,1.627817
265,1.636499
266,1.635715
267,1.631653
268,1.628541
269,1.623295
270,1.616525
271,1.618785
272,1.616072
273,1.614564
274,1.633577
275,1.614293
276,1.625265
277,1.626737
278,1.623160
279,1.626431
280,1.625365
281,1.618304
282,1.625979
283,1.616898
284,1.623343
285,1.631932
286,1.631754
287,1.631778
288,1.620364
289,1.630653
290,1.622919
291,1.626032
292,1.633859
293,1.631560
294,1.630429
295,1.624907
296,1.619914
297,1.613795
298,1.612707
299,1.615348
300,1.626651
301,1.624363
302,1.614285
303,1.619137
304,1.612390
305,1.617650
306,1.616838
307,1.615340
308,1.616694
309,1.621571
310,1.627825
311,1.631201
312,1.617086
313,1.629526
314,1.617793
315,1.628269
316,1.618604
317,1.622786
318,1.621855
319,1.619292
320,1.627296
321,1.692116
322,1.635084
323,1.634590
324,1.625533
325,1.627030
326,1.625003
327,1.619261
328,1.640325
329,1.662304
330,1.647753
331,1.618520
332,1.638306
333,1.642105
334,1.631443
335,1.642440
336,1.628090
337,1.620236
338,1.622209
339,1.618627
340,1.625078
341,1.626705
342,1.617560
343,1.619873
344,1.618329
345,1.619492
346,1.614792
347,1.616568
348,1.631711
349,1.617468
350,1.615802
351,1.622729
352,1.615956
353,1.625772
354,1.618796
355,1.619480
356,1.621347
357,1.619993
358,1.615347
359,1.616462
360,1.617206
361,1.615292
362,1.627537
363,1.624555
364,1.621847
365,1.640915
366,1.611072
367,1.626688
368,1.625225
369,1.622235
370,1.622157
371,1.615680
372,1.622219
373,1.635586
374,1.615603
375,1.624867
376,1.620116
377,1.625399
378,1.628649
379,1.622192
380,1.635447
381,1.637201
382,1.622796
383,1.626351
384,1.620622
385,1.622573
386,1.623877
387,1.622309
388,1.644730
389,1.669226
390,1.634810
391,1.641394
392,1.635407
393,1.632868
394,1.648199
395,1.625853
396,1.630252
397,1.638621
398,1.626655
399,1.624337
400,1.617737
401,1.623015
402,1.624034
403,1.618230
404,1.629383
405,1.634943
406,1.623754
407,1.623865
408,1.625095
409,1.628497
410,1.672945
411,1.626108
412,1.622248
413,1.628045
414,1.620507
415,1.625240
416,1.620140
417,1.619014
418,1.624466
419,1.619407
420,1.631143
421,1.627275
422,1.623384
423,1.619200
424,1.625926
425,1.624716
426,1.616942
427,1.618080
428,1.617230
429,1.629205
430,1.626009
431,1.628287
432,1.622531
433,1.623659
434,1.621080
435,1.623305
436,1.625116
437,1.618716
438,1.617802
439,1.621038
440,1.615485
441,1.618037
442,1.615427
443,1.613762
444,1.630522
445,1.615912
446,1.621000
447,1.631701
448,1.629031
449,1.616477
450,1.607283
451,1.617103
452,1.653526
453,1.640590
454,1.626937
455,1.639514
456,1.626250
457,1.648193
458,1.626673
459,1.629751
460,1.617843
461,1.627169
462,1.636190
463,1.633419
464,1.629107
465,1.625875
466,1.625392
467,1.623756
468,1.620233
469,1.615987
470,1.620366
471,1.617932
472,1.635224
473,1.620833
474,1.624137
475,1.624630
476,1.619893
477,1.621121
478,1.613864
479,1.621194
480,1.621893
481,1.617585
482,1.624212
483,1.616926
484,1.626304
485,1.623042
486,1.608650
487,1.623133
488,1.621554
489,1.612480
490,1.626713
491,1.622566
492,1.630843
493,1.636092
494,1.618194
495,1.625654
496,1.636854
497,1.611748
498,1.631397
499,1.633068
500,1.624012
501,1.622653
502,1.613026
503,1.634522
504,1.641032
505,1.623279
506,1.688340
507,1.623669
508,1.623759
509,1.634253
510,1.618811
511,1.622250
512,1.620869
513,1.622401
514,1.627201
515,1.627721
516,1.625018
517,1.625351
518,1.635021
519,1.758483
520,1.651197
521,1.656628
522,1.631447
523,1.631304
524,1.632318
525,1.636676
526,1.639731
527,1.640194
528,1.642369
529,1.643733
530,1.627215
531,1.635748
532,1.622505
533,1.647576
534,1.629263
535,1.631603
536,1.624373
537,1.624733
538,1.623744
539,1.636143
540,1.636929
541,1.623641
542,1.626569
543,1.623898
544,1.629521
545,1.630205
546,1.623784
547,1.623233
548,1.625320
549,1.621704
550,1.631104
551,1.622844
552,1.620411
553,1.621684
554,1.618434
555,1.613312
556,1.616658
557,1.615186
558,1.630183
559,1.607228
560,1.619953
561,1.617166
562,1.611097
563,1.622677
564,1.615977
565,1.622588
566,1.618109
567,1.636281
568,1.629374
569,1.615658
570,1.619785
571,1.634576
572,1.619901
573,1.617827
574,1.620219
575,1.640412
576,1.649755
577,1.657809
578,1.611244
