idx,token,latency_ms,pred_occ,gt_occ,n_obj,n_vru
0,30e55a3ec6184d8cb1944b39ba19d622,4124.726818874478,56846,-1,9,7
1,cc18fde20db74d30825b0b60ec511b7b,143.89288425445557,64898,-1,11,8
2,08e76760a8c64a92a86686baf68f6aff,138.9604788273573,68307,-1,11,8
3,2140329a6990437aa46b83c30f49cf49,139.02034051716328,73720,-1,11,8
4,01a7d01c014f406f87b8fe11976c3d0a,138.04929703474045,71886,-1,12,8
5,a2fada921a7d4141877f4a51328a21af,137.98336498439312,64087,-1,13,8
6,b06a815164ec466f9fdb525522bb3799,139.95835185050964,63958,-1,14,8
7,5bd85334fdf94fb99c7eaa45d5feba0d,136.8666347116232,58753,-1,14,8
8,61f89208546a4045af336659ebe8db05,137.83919252455235,59700,-1,14,8
9,3bf56ebb22b741339967a95a9fbe2081,137.62299716472626,61429,-1,16,8
10,296fcfbf2e29489699f1cb5631f38ff5,139.18021321296692,59318,-1,18,8
11,f7d75d25c86941f3aecfed9efea1a3e3,137.7288643270731,60366,-1,20,8
12,1dfecb8189f54b999f4e47ddaa677fd0,137.813163921237,62186,-1,21,7
13,830ba619959e4802a955ac40c5ee9453,135.4515589773655,65681,-1,20,5
14,dc2b67cdadca4deb89d7d684f2894292,136.71822659671307,63793,-1,20,5
15,e1dffaba060040cfab07dec04790fbfa,135.63268817961216,64660,-1,21,6
16,be28204a6a5a42ed9939d95ec3f22f5f,132.9899039119482,68186,-1,20,6
17,77c3d98fab3e4d3ea65747caaa74d605,133.28140042722225,71190,-1,21,6
18,5224809ffef94a6e83454ad3930d3533,135.4182455688715,72421,-1,22,7
19,3c18f85f037744b6ae4c8a6f8dc578c2,134.00899805128574,71093,-1,22,7
20,08d95280dd2f42d98a4a6e33dff8e815,132.74207897484303,69565,-1,22,7
21,f38aedc5545643d5be815165c6574186,133.58677551150322,69670,-1,22,7
22,56f30b8972084492bbe742d423fc00ff,135.07327623665333,70026,-1,22,6
23,d536032be01140afb6faa25b33de5487,134.18723456561565,67422,-1,23,6
24,4094ae4656fb4b8fb1906192b24a34cb,132.47049786150455,72553,-1,24,6
25,df25b3ecaf994001ab5d5b92b9de89fd,132.63439573347569,70475,-1,24,6
26,27f42a55215f4223a01afa79fcda72e6,135.11526584625244,68456,-1,23,5
27,f3c9f3e85f384381bfced8c2a863376f,134.17700305581093,70612,-1,23,5
28,9c0558316d134feb8835997f8df4444d,132.45687261223793,68138,-1,23,5
29,755ef1d006e94b2a87523000781a7a99,133.65153595805168,65303,-1,23,5
30,4f9ad42bb4a24970b770ba0a87baf47a,135.2918278425932,61491,-1,22,5
31,5ea654e6b56a457093b835dbf8c886e4,135.5847492814064,61874,-1,22,5
32,8d4ef2af6b394e5e8ccfd6e2e90156dc,133.42429883778095,60202,-1,21,4
33,91cc3d4e0df748fd8f7b2955fa4b549c,133.08919966220856,60284,-1,21,4
34,adcff599db1e48f19fd5c0fc827c8d79,135.3043019771576,61721,-1,20,4
35,ec78e68b1637464da5305a9cbed214c4,134.14779864251614,60652,-1,20,4
36,9288108d128d4579a54fb135d08b46ad,132.54926539957523,60291,-1,20,4
37,efce90566e4b4b39a3869c023d7c6f19,133.72882269322872,61395,-1,20,4
38,e59fefa1fc19406782779392dff95366,135.19573770463467,60727,-1,20,4
39,adce54dcf6404d37bd170ffc4c2a7836,134.59503836929798,79297,-1,18,3
40,3613b5ea52bc46d0966fede34be89d38,132.70722329616547,81535,-1,23,9
41,c0f6cef97fa44973afe8ed8e18e652c3,133.56866128742695,75234,-1,25,11
42,895d801ecf3e40019e43a0d5b80bb453,134.51390713453293,78380,-1,25,12
43,18f10858b2b1410f8485ffa35253033d,134.01265442371368,78386,-1,26,13
44,2d72c60d65f84eae91bb4e5b2486b366,132.41203874349594,77579,-1,27,14
45,3d2ce1b79d1c45e5b7db4f26f411bb86,132.9164355993271,78023,-1,29,16
46,9a7a58e327f04340ae8f9ec098a58418,135.27208007872105,85403,-1,28,15
47,575d8e57b2de436b805fd6befde3edd7,134.3310922384262,85720,-1,31,19
48,14d8b49233574552ae43c6f49172ea16,133.88406299054623,88103,-1,33,20
49,5973a055a6ac40e9934cfce8afa82fbe,134.5247384160757,87606,-1,35,25
50,1220f9a205ae44418fcce91722e1e601,134.99576225876808,88519,-1,39,33
51,9b3ff4bc3d1d46a19ddae004ec9c0ae5,135.01154072582722,90134,-1,41,35
52,692096a37e2c43b3b1aaaa06b0a9666b,132.4237808585167,88919,-1,46,41
53,0c97832dafd24fce9a0e4935664dc824,132.59929046034813,90247,-1,48,44
54,ca37a1ae2ef1461d9c3dadf826e78706,134.65182483196259,91873,-1,50,46
55,9a1174901ea1401a9972a44616214c9b,133.72901268303394,91674,-1,51,47
56,6e147994a5e3493d86a928a612ff5791,132.66447186470032,97691,-1,55,51
57,4a1972f8731b4cdea40fc69a38a735b1,133.43097269535065,101782,-1,53,49
58,a4be46a1e7d24df3b14fe5322c65df71,135.48503257334232,101129,-1,49,45
59,d02a787e344d40d78b57593a31fe1813,133.89241881668568,100676,-1,43,39
60,1994ad9682bd4175b244af0be3e09417,133.17586295306683,95766,-1,35,31
61,802619f6fb5940608483cb29fc1beab6,133.72423313558102,94270,-1,36,32
62,b24eea3e5ebd423fafe109de526cb484,135.0595708936453,92730,-1,36,31
63,6e90bc3643d94c0fa0edf8795f8c8aa3,133.935259655118,99333,-1,30,25
64,5512cfa9df6842f89062f97cdefa378d,132.529828697443,97965,-1,26,21
65,6ea8ed46a7e04a10abfa6acd5290ea09,132.4937716126442,98565,-1,21,16
66,1db65e17354d4873bd22d3186e7dfcdf,134.27213206887245,96636,-1,19,14
67,d0a9cf1d37cd414584f676826a1f400a,133.7735466659069,105649,-1,16,11
68,21e50bd8b149409a9791a74acf49a676,132.6296664774418,112953,-1,16,11
69,459ac79bafdf4b88913f981c1fa71b2c,132.75869004428387,108847,-1,16,11
70,e05526aafa644218b37ab46567a6e776,134.44809429347515,109615,-1,14,10
71,9260fb448a3a49c0be2d174e01157940,134.12095978856087,111747,-1,16,10
72,5abd3d15e63c44a8a8189a6e70a496ef,133.0155711621046,108817,-1,19,12
73,44a799dcf8cd4393aaa748e1bcd96d58,133.65346938371658,105622,-1,17,10
74,addc85df1c34465090f92fa811ecaac6,133.5346270352602,103107,-1,18,10
75,7483e0aca67b4ed79c12f553d5123923,132.47396424412727,100344,-1,17,9
76,79aee76081974fe18eff436a020ce606,132.39734061062336,98889,-1,15,7
77,c359678db3e0441397c0d631f98ec7e1,133.1708524376154,98769,-1,14,6
78,8cf0dfa0d78f469e8b10760332954028,134.41207632422447,99657,-1,12,5
79,51f37263b06c417e94138f2d9348f909,133.26949812471867,90464,-1,21,8
80,d14ff11d28f8410a83aae3cd04de0203,133.02205316722393,88415,-1,25,10
81,8b93ca14a898421d88a437bbd88fb716,132.92153552174568,94374,-1,26,10
82,c48d2494401a419b8c56b7f413526bd8,134.99991036951542,93562,-1,28,10
83,af4baa2810cf431695fbe4f3f5ce7951,137.0274182409048,92318,-1,28,10
84,8d74da149b1041cf8f0ff4a23c53342c,133.3995033055544,89704,-1,30,10
85,752c9911f5184076b7498c32913821be,132.2460751980543,81429,-1,30,10
86,5f610345cd6841f2afef4769153b5fe5,135.36356203258038,82607,-1,32,10
87,32d941ca626c458381f13c0c7ab267b8,132.99801014363766,84679,-1,33,10
88,6a02dd6bc13a457b9af4dc88220e269e,131.90503604710102,81939,-1,35,10
89,d492d47f5aba43249fe426f07a2911bf,131.85657560825348,82647,-1,37,10
90,7b175346a22b4e68b54a9d21f88446dc,133.70578736066818,83233,-1,42,10
91,1192c1448ec044ef97df3078e92032eb,132.33704678714275,82340,-1,43,10
92,6f82d20df0564605978ac7ee7d2da494,132.70937651395798,81654,-1,46,11
93,2f207084f4794686be52b8fbbfa91f1f,132.59486109018326,84603,-1,45,11
94,71a74ae092364afebe91caaee4ed2af3,134.317547082901,89677,-1,46,11
95,a95deb56b3a845acae5cc782f42e5e4c,132.99072347581387,94554,-1,45,11
96,76b0296bc28a454894ea616e547ee9e9,132.29776360094547,96688,-1,41,11
97,8ccc7487ae0a4aed9daa021f6efe96b5,133.33126343786716,97217,-1,40,10
98,91bb8353dea24e0eb219c013b45dcd64,133.949376642704,96618,-1,39,10
99,adebba609dd34ac58da232e03ad80f89,133.62283445894718,96217,-1,40,11
100,f2727eb072f7470b862601edee7250b3,133.1348568201065,95674,-1,41,11
101,849bde6d489544178c838baa28142bd4,133.8889431208372,95264,-1,41,11
102,afd9b98ede4b4c79b3fc1882ffeb2068,134.33338701725006,95744,-1,43,12
103,12a72195b0a242b3bf7a48c0d82cd219,133.87777097523212,98025,-1,43,12
104,12a0035c7d934d259f5fa32eafd7b0e3,133.90342891216278,98682,-1,43,12
105,eab9a7fe8c7c4cbebbefbbdb77960d6a,134.68879647552967,98455,-1,43,12
106,000681a060c04755a1537cf83b53ba57,135.2427564561367,97938,-1,43,12
107,39118d2a1a9b459eadc2c2d28c7658d3,133.78431648015976,99614,-1,42,12
108,b70d359986c74a008d7e9f957521b213,135.1820807904005,98333,-1,42,12
109,c1348c56187d4f38ad1b569cd3a7095f,134.23983193933964,97997,-1,42,12
110,e5062bd5d7774291b8641c5a9a38b439,134.99516062438488,100316,-1,41,12
111,cf6a7d894c034a4db251f41bc31cdbf7,134.30345058441162,100120,-1,40,12
112,9de41b523cce4fb3aa4f6230ec06345d,133.58542323112488,97892,-1,38,12
113,5bbe677b299143128aa0492add6b28cf,134.17895883321762,98008,-1,38,12
114,8b2da12cffd84eb2925b0b9e08ed250f,134.81356017291546,99350,-1,38,12
115,d48f731eacf64f1f8df51ba2a153864a,133.3677526563406,98949,-1,38,12
116,073394e5ed044800b3e4d7e077716219,138.94928991794586,98125,-1,37,11
117,5b8bccc502224cbd82d1cf9e511a35c0,135.5927437543869,98170,-1,35,11
118,6de2f8b9d18441e8aee8011d5f8759f3,134.5418095588684,98281,-1,32,11
119,c28c950afda14f7b93ff956799873dff,134.56086441874504,80682,-1,5,2
120,73605b2d71b347e996af63f7e7e55fa9,134.92314517498016,81631,-1,7,4
121,86287c78bf494502ae0b6110c162b63d,135.23038290441036,82053,-1,7,4
122,c365e8e9ccfd4bcbac8fc09a21692edc,136.8057206273079,83574,-1,7,4
123,08dfcb4bd030497ea9c7d17d4bbba24b,133.38210061192513,82739,-1,7,4
124,b8c2c0c99fa24096abb6537fe3bd5628,134.28590819239616,81349,-1,7,4
125,8b52e309b5144f7880725db89ec38956,135.85714995861053,78598,-1,7,4
126,54dd93feb4b34fc4b57470531bd79ff5,137.25922256708145,79762,-1,7,4
127,7c3248a9f77341d2ba915b857bd8f287,133.38018581271172,82523,-1,7,4
128,9f5b95a0bb20428188d4abae6a0579d1,133.10431875288486,87266,-1,7,4
129,cbbd333271434197b1bd8302ae03100f,133.5457693785429,91170,-1,7,4
130,28b11a54a9554bcab30d73ee193046b5,136.15241460502148,92860,-1,7,4
