idx,token,latency_ms,pred_occ,gt_occ,n_obj,n_vru
0,30e55a3ec6184d8cb1944b39ba19d622,4071.390112861991,31517,-1,9,7
1,cc18fde20db74d30825b0b60ec511b7b,49.50285702943802,31708,-1,11,8
2,08e76760a8c64a92a86686baf68f6aff,51.465120166540146,31881,-1,11,8
3,2140329a6990437aa46b83c30f49cf49,103.54502126574516,31921,-1,11,8
4,01a7d01c014f406f87b8fe11976c3d0a,87.37057261168957,31858,-1,12,8
5,a2fada921a7d4141877f4a51328a21af,51.51004530489445,31809,-1,13,8
6,b06a815164ec466f9fdb525522bb3799,50.8752167224884,31821,-1,14,8
7,5bd85334fdf94fb99c7eaa45d5feba0d,67.36479699611664,31800,-1,14,8
8,61f89208546a4045af336659ebe8db05,75.04132390022278,31877,-1,14,8
9,3bf56ebb22b741339967a95a9fbe2081,63.06765601038933,31778,-1,16,8
10,296fcfbf2e29489699f1cb5631f38ff5,82.0850282907486,31939,-1,18,8
11,f7d75d25c86941f3aecfed9efea1a3e3,65.37154503166676,31915,-1,20,8
12,1dfecb8189f54b999f4e47ddaa677fd0,66.88634492456913,31941,-1,21,7
13,830ba619959e4802a955ac40c5ee9453,61.955638229846954,31950,-1,20,5
14,dc2b67cdadca4deb89d7d684f2894292,88.8555645942688,31946,-1,20,5
15,e1dffaba060040cfab07dec04790fbfa,60.46057492494583,31977,-1,21,6
16,be28204a6a5a42ed9939d95ec3f22f5f,52.75841988623142,31936,-1,20,6
17,77c3d98fab3e4d3ea65747caaa74d605,50.89426040649414,31946,-1,21,6
18,5224809ffef94a6e83454ad3930d3533,56.174617260694504,31832,-1,22,7
19,3c18f85f037744b6ae4c8a6f8dc578c2,49.340009689331055,31770,-1,22,7
20,08d95280dd2f42d98a4a6e33dff8e815,50.099391490221024,31664,-1,22,7
21,f38aedc5545643d5be815165c6574186,64.273152500391,31887,-1,22,7
22,56f30b8972084492bbe742d423fc00ff,49.908943474292755,31844,-1,22,6
23,d536032be01140afb6faa25b33de5487,80.57355508208275,31772,-1,23,6
24,4094ae4656fb4b8fb1906192b24a34cb,53.203340619802475,31931,-1,24,6
25,df25b3ecaf994001ab5d5b92b9de89fd,68.86637024581432,31926,-1,24,6
26,27f42a55215f4223a01afa79fcda72e6,102.55463980138302,31928,-1,23,5
27,f3c9f3e85f384381bfced8c2a863376f,50.71529187262058,31936,-1,23,5
28,9c0558316d134feb8835997f8df4444d,50.04216358065605,31950,-1,23,5
29,755ef1d006e94b2a87523000781a7a99,57.601530104875565,31932,-1,23,5
30,4f9ad42bb4a24970b770ba0a87baf47a,64.11335989832878,31843,-1,22,5
31,5ea654e6b56a457093b835dbf8c886e4,61.15870364010334,31861,-1,22,5
32,8d4ef2af6b394e5e8ccfd6e2e90156dc,82.5613085180521,31812,-1,21,4
33,91cc3d4e0df748fd8f7b2955fa4b549c,73.31774197518826,31838,-1,21,4
34,adcff599db1e48f19fd5c0fc827c8d79,95.64886800944805,31882,-1,20,4
35,ec78e68b1637464da5305a9cbed214c4,85.91888472437859,31934,-1,20,4
36,9288108d128d4579a54fb135d08b46ad,96.70579992234707,31944,-1,20,4
37,efce90566e4b4b39a3869c023d7c6f19,59.144141152501106,31935,-1,20,4
